n_objetivos,problema,indicador,hiperparam_ind_conv,p-value_Friedman,Medias_Distintas
4,DTLZ2,s-energy,R2,0.9440064819385043,0
4,DTLZ2,spd,IGD+,1.9593126760015932e-15,1
4,DTLZ2,spd,R2,0.6270608793359845,0
4,DTLZ3,eps+,IGD+,0.013273343595552977,1
4,DTLZ3,eps+,R2,0.5030424650508698,0
4,DTLZ3,hv,IGD+,0.001982577585001083,1
4,DTLZ3,hv,R2,0.9513548618464941,0
4,DTLZ3,igd,IGD+,0.7029582246456741,0
4,DTLZ3,igd,R2,0.7838431440165834,0
4,DTLZ3,igd+,IGD+,0.0010585925536379932,1
4,DTLZ3,igd+,R2,0.772472304994281,0
4,DTLZ3,r2,IGD+,0.007504453450186206,1
4,DTLZ3,r2,R2,0.7458695993863216,0
4,DTLZ3,s-energy,IGD+,1.1210983075419034e-08,1
4,DTLZ3,s-energy,R2,0.003915184264128182,1
4,DTLZ3,spd,IGD+,5.3996058627660255e-06,1
4,DTLZ3,spd,R2,0.7559379344600048,0
4,DTLZ4,eps+,IGD+,0.34988860282927436,0
4,DTLZ4,eps+,R2,0.92438944819406,0
4,DTLZ4,hv,IGD+,0.0011040817669127718,1
4,DTLZ4,hv,R2,0.2075960902531453,0
4,DTLZ4,igd,IGD+,0.03699242262592158,1
4,DTLZ4,igd,R2,0.6620886625047606,0
4,DTLZ4,igd+,IGD+,0.0015604735463476593,1
4,DTLZ4,igd+,R2,0.9324307513949666,0
4,DTLZ4,r2,IGD+,0.03117384826870106,1
4,DTLZ4,r2,R2,0.27126478850561137,0
4,DTLZ4,s-energy,IGD+,2.0631494287919766e-06,1
4,DTLZ4,s-energy,R2,0.8127396668166442,0
4,DTLZ4,spd,IGD+,1.5964452556165155e-07,1
4,DTLZ4,spd,R2,0.7513252008414893,0
4,DTLZ5,eps+,IGD+,0.14733985104574585,0
4,DTLZ5,eps+,R2,0.8549268805672225,0
4,DTLZ5,hv,IGD+,0.3806270752406285,0
4,DTLZ5,hv,R2,0.07334157420015212,0
4,DTLZ5,igd,IGD+,0.16013107651218086,0
