n_objetivos,problema,indicador,hiperparam_ind_conv,,0.001,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.999
2,DTLZ1,igd+,EPS+,0.6,2.152166e-01,1.558971e-01,4.781647e-01,1.558971e-01,4.927177e-01,1.012249e-01,nan,2.374525e-01,9.467411e-02,3.780832e-01,2.045488e-01
2,DTLZ1,igd+,EPS+,0.7,5.072823e-01,3.642530e-01,8.255949e-01,8.255949e-01,9.175215e-01,2.979097e-01,7.738123e-01,nan,5.795889e-01,7.847834e-01,6.761723e-01
2,DTLZ1,igd+,EPS+,0.8,2.979097e-01,3.920631e-01,5.652561e-01,3.780832e-01,7.147017e-01,2.261877e-01,9.115734e-01,4.347439e-01,nan,2.852983e-01,3.920631e-01
2,DTLZ1,igd+,EPS+,0.9,4.061775e-01,3.780832e-01,7.391634e-01,5.795889e-01,7.954512e-01,2.490044e-01,6.357470e-01,2.261877e-01,7.270622e-01,nan,3.920631e-01
2,DTLZ1,igd+,EPS+,0.999,4.927177e-01,3.920631e-01,6.892433e-01,4.927177e-01,7.954512e-01,4.636393e-01,8.058119e-01,3.371115e-01,6.219168e-01,6.219168e-01,nan
2,DTLZ1,igd+,IGD+,0.001,nan,6.219168e-01,6.494093e-01,3.642530e-01,7.020903e-01,8.255949e-01,9.757795e-01,9.473009e-01,8.441029e-01,4.927177e-01,8.441029e-01
2,DTLZ1,igd+,IGD+,0.1,3.920631e-01,nan,4.927177e-01,1.941881e-01,6.628885e-01,9.336367e-01,8.441029e-01,7.147017e-01,6.628885e-01,2.729378e-01,7.270622e-01
2,DTLZ1,igd+,IGD+,0.2,3.642530e-01,5.218353e-01,nan,2.490044e-01,4.061775e-01,8.058119e-01,9.903831e-01,8.528738e-01,8.772564e-01,2.374525e-01,7.738123e-01
2,DTLZ1,igd+,IGD+,0.3,6.494093e-01,8.158617e-01,7.625475e-01,nan,7.020903e-01,9.384537e-01,9.430065e-01,9.708710e-01,7.847834e-01,5.363607e-01,8.158617e-01
2,DTLZ1,igd+,IGD+,0.4,3.107567e-01,3.505907e-01,6.079369e-01,3.107567e-01,nan,8.255949e-01,9.175215e-01,8.058119e-01,6.761723e-01,1.841383e-01,7.625475e-01
2,DTLZ1,igd+,IGD+,0.5,1.841383e-01,7.145309e-02,2.045488e-01,6.636333e-02,1.841383e-01,nan,4.636393e-01,5.652561e-01,1.305494e-01,8.842659e-02,4.347439e-01
2,DTLZ1,igd+,IGD+,0.6,2.658463e-02,1.649914e-01,1.074219e-02,6.154633e-02,8.842659e-02,5.508413e-01,nan,4.636393e-01,2.152166e-01,5.344391e-03,2.729378e-01
